word,dsocial science,dengineering,dmedicine,d-lifescience
Event-related potential,22,18,20,6
Face perception,12,20,22,12
Dopamine,18,20,22,6
Cognitive functions,11,23,23,8
Bipolar disorder,14,20,24,7
Categorization,15,19,24,7
Magnetic resonance imaging,14,13,26,9
Traumatic brain injury,19,22,17,5
Brain,18,19,19,5
Intelligence,13,15,28,5
Cerebellum,11,21,26,3
Processing speed,15,15,27,3
Visual,13,15,26,6
Decision making,15,13,28,3
Consciousness,15,11,24,9
Mood,13,10,31,4
Gender,10,19,19,10
Face recognition,18,19,18,3
aging,10,19,24,2
working memory,10,22,19,4
Sex differences,11,15,19,9
Mental rotation,12,14,24,4
Individual differences,15,11,21,7
Neurosurgery and Psychiatry",0,0,0,0
Ageing,7,26,17,3
Neuropsychological assessment,13,12,22,5
Functional MRI,11,17,16,8
schizophrenia,10,13,22,7
Alzheimer disease,11,17,19,4
Visual cortex,13,14,17,6
Magnetoencephalography,10,18,15,7
Faces,9,13,24,4
ADHD,8,18,17,7
Driving,8,16,19,7
Behavior,13,14,17,5
Navigation,8,15,17,9
Pain,14,14,16,5
Basal ganglia,17,8,21,2
Metacognition,11,12,19,6
Affective and Behavioral Neuroscience",0,0,0,0
Assessment,4,19,19,5
Priming,6,18,20,3
Auditory,13,11,17,5
social cognition,7,14,19,6
Eye tracking,8,10,22,6
Information processing,11,14,14,6
Action,10,13,17,6
Task switching,5,15,22,4
Electroencephalography,10,11,20,4
Spatial memory,3,17,18,7
Stress,5,17,21,2
Reward,7,15,19,3
dementia,12,11,13,7
Alcohol,8,16,13,6
Infancy,9,10,21,3
Parietal cortex,10,13,13,6
Spatial attention,8,10,18,6
Cognitive aging,7,15,18,2
Saccades,9,17,14,2
Attentional bias,7,15,17,2
Eye-tracking,6,10,22,2
N400,6,10,18,6
Visual memory,4,15,18,3
P3,3,14,12,10
Plasticity,6,17,13,3
Cognitive decline,11,12,15,1
neuropsychology,7,12,14,6
Williams syndrome,9,11,14,5
Semantics,7,13,14,5
Face,4,12,18,5
Outcome,4,19,12,3
N170,3,13,19,3
Hallucinations,9,9,16,4
Virtual reality,5,16,11,5
Monkey,7,17,10,3
Motivation,11,9,10,6
Biological motion,6,15,14,1
emotion,8,9,17,2
Emotion recognition,7,12,14,3
Executive functioning,8,8,16,2
Impulsivity,10,8,13,4
Resting state,6,13,15,1
Dyslexia,2,11,19,3
Arousal,8,10,12,5
MEG,12,7,13,3
Multisensory integration,6,7,17,4
Mental imagery,9,14,10,1
Facial expression,3,8,17,6
Cognitive deficits,3,8,18,5
Emotion regulation,9,11,10,3
Empathy,11,9,12,2
Affect,7,8,19,0
Psychophysics,5,8,18,3
Visual working memory,9,9,12,3
Motor control,6,9,16,2
Expertise,8,10,13,2
Mirror neurons,6,12,13,2
Child,5,11,17,0
Adolescence,3,10,16,4
Awareness,8,11,11,3
Familiarity,6,8,15,4
Transcranial magnetic stimulation,5,7,18,3
Semantic memory,7,15,11,0
Diffusion tensor imaging,7,13,9,2
Temporal lobe epilepsy,3,13,15,1
Embodiment,4,11,15,2
Cognitive dysfunction,5,6,17,4
Balance,4,8,18,2
mild cognitive impairment,11,8,9,4
Short-term memory,6,9,15,1
Older adults,2,11,14,4
Cognition disorders,5,5,19,2
Infant,7,7,12,4
Frontal lobe,10,10,10,1
Rat,8,8,11,3
Cognitive flexibility,4,13,10,3
Perspective taking,5,15,8,2
Aphasia,6,6,17,1
Infant cognition,10,9,7,4
Laterality,5,6,15,4
Eye movement,6,8,13,3
Visual discrimination,6,12,8,4
Inhibitory control,8,9,7,4
Fatigue,5,10,9,4
Anterior cingulate cortex,6,10,10,3
Communication,4,7,15,3
Endophenotype,7,7,10,5
Child development,9,5,8,7
PET,6,12,10,0
Recognition,7,8,11,3
Dual task,5,10,11,3
Cognitive load,5,15,9,0
Cognitive functioning,6,10,11,2
Acetylcholine,3,13,8,5
Recognition memory,5,6,13,5
Concussion,6,11,9,2
Down syndrome,3,9,13,3
SYSNEURO,6,10,11,1
Frontotemporal dementia,6,6,13,2
Decision-making,8,10,10,0
Lateralization,5,9,10,4
MCI,4,10,9,5
Serotonin,4,8,12,4
Distraction,6,8,12,2
Visual processing,7,11,9,1
Emotions,2,5,17,4
Nicotine,6,8,10,4
Adaptation,7,8,11,2
perception,6,4,13,4
depression,7,8,8,4
Meta-analysis,10,9,7,1
Context,3,14,9,1
Imagery,5,9,9,4
Adolescents,6,11,10,0
Longitudinal,7,12,7,1
White matter,9,6,9,3
Divided attention,4,9,10,4
Parietal,6,8,11,2
Multisensory,9,4,11,3
Caffeine,8,9,7,2
Neglect,2,6,11,7
Blindness,2,11,10,3
Dementia with Lewy bodies,8,8,8,2
Visual impairment,2,9,11,4
Infants,10,7,7,2
Music,6,7,11,2
Gait,5,6,14,1
Prediction,5,8,11,2
Visual word recognition,4,7,14,1
Mild traumatic brain injury,2,12,7,4
Problem solving,5,7,12,2
Interference,4,4,15,3
Temporal lobe,6,13,6,1
Education,5,3,11,6
Grounded cognition,4,7,12,3
Humans,3,5,11,6
Addiction,4,10,7,4
Self,3,11,9,2
Executive control,3,8,13,1
Motor,3,11,9,2
Genetics,9,5,11,0
Parkinson disease,5,6,11,3
Gender differences,7,7,10,1
Number,7,11,5,2
Functional magnetic resonance imaging (fMRI),4,8,9,3
Motor learning,5,9,9,1
Disability,6,6,11,1
Emotion perception,6,7,9,2
PTSD,6,9,6,3
cognitive function,5,7,11,1
cognitive impairment,4,7,11,2
Reasoning,3,5,13,3
Dual-task,3,6,14,1
Naming,7,3,13,1
Connectivity,8,5,5,5
Risk factors,3,6,13,2
Voxel-based morphometry,4,8,9,3
Response inhibition,5,7,11,0
Age,6,6,9,2
Sustained attention,5,4,5,9
Default mode network,6,6,10,1
Simulation,3,8,9,3
Perceptual learning,5,6,7,4
Comorbidity,2,4,16,1
Representation,4,8,10,1
Cortisol,2,7,10,4
Facial expressions,5,2,12,4
Aged,5,3,11,4
Striatum,4,8,11,0
Epidemiology,3,5,14,1
Autism spectrum disorders,6,6,8,3
Independent component analysis,8,6,6,3
Insula,2,8,13,0
Motion,4,6,9,4
Reversal learning,4,9,9,1
Implicit memory,4,7,11,1
HIV,7,6,7,2
Behaviour,4,5,8,5
Olfaction,6,5,9,2
Cognitive training,3,4,10,5
Color,6,3,9,4
Visual acuity,6,5,8,3
CANTAB,7,7,5,3
Electrophysiology,5,4,11,2
Eye gaze,4,4,7,7
Cortex,6,5,7,4
DTI,7,2,10,3
Medial temporal lobe,3,8,7,4
Oscillations,4,8,9,1
Postural control,2,9,9,2
Antisaccade,3,5,12,2
Amnesia,6,6,8,2
Change detection,3,5,10,4
Joint attention,2,6,8,6
Brain imaging,5,8,6,3
Social perception,5,3,13,1
N2,3,6,8,5
Saccade,2,4,9,7
Encoding,3,5,10,3
EEG/ERP,6,6,6,3
Language comprehension,6,2,10,3
Sleep deprivation,2,6,12,1
Delirium,3,6,8,3
Childhood,4,9,8,0
Visual imagery,12,4,3,2
Line bisection,8,5,2,6
Synaesthesia,3,9,9,0
Menopause,7,5,8,1
Visuospatial,7,7,5,2
Verbal memory,3,8,10,0
Spatial,6,8,3,4
Visual hallucinations,1,5,11,4
Anorexia nervosa,6,6,7,2
Adolescent,5,6,7,3
Mentalizing,7,8,5,1
Gaze,4,7,7,3
Neuropsychological,6,4,10,1
Perceptual organization,4,6,10,1
Superior temporal sulcus,2,7,8,3
Cognitive bias,4,5,8,3
Automaticity,3,4,9,4
Planning,3,5,11,1
Alcoholism,3,6,9,2
Posture,3,5,12,0
Animal cognition,4,5,7,4
Sleep,5,3,11,1
Thalamus,4,8,7,1
Neuropsychological testing,4,8,7,1
Imitation,4,7,9,0
Dorsolateral prefrontal cortex,4,5,10,1
Cognitive rehabilitation,2,7,10,1
Epilepsy surgery,4,9,7,0
Autism spectrum disorder,8,4,6,2
Morris water maze,5,3,10,2
Estrogen,5,4,8,3
anxiety,4,8,5,3
Vigilance,3,4,9,4
Cognitive abilities,3,6,9,2
Neuropsychological test,1,7,9,2
Attentional blink,7,3,9,1
Longitudinal study,9,5,5,1
Event-related brain potentials,5,9,4,1
Obsessive-compulsive disorder,2,3,10,4
Performance,6,5,8,0
visual attention,2,2,7,8
Discrimination,6,6,5,2
Cognitive assessment,0,4,14,1
Cognitive disorders,4,7,6,1
Concepts,2,4,11,2
Mental number line,3,6,9,1
Bilingualism,5,6,7,1
Cross-modal,4,2,10,3
Donepezil,3,6,8,2
Comparative cognition,1,10,7,1
Orientation,3,8,6,2
Numerosity,3,3,8,5
Implicit learning,2,7,8,2
Insight,1,8,9,1
Valence,3,8,5,3
Neurocognitive,4,4,8,3
Attentional control,2,9,6,2
executive function,4,1,9,4
Exercise,4,5,8,1
Evolution,7,6,4,1
Social interaction,3,6,8,1
Intellectual disability,3,4,10,1
Agency,3,4,6,5
Diagnosis,3,7,5,3
Obesity,1,7,8,2
Parkinsonism,3,5,8,2
Perirhinal cortex,3,7,6,2
Cocaine,5,8,5,0
Training,3,6,8,1
Lexical decision,3,6,7,2
Time perception,4,5,6,3
Situated cognition,2,4,11,1
Recollection,3,6,8,0
children,4,5,5,3
Hypertension,3,5,6,3
Prefrontal,3,5,8,1
Evaluation,4,4,9,0
Intraparietal sulcus,1,7,8,1
Orbitofrontal cortex,4,4,8,1
Culture,1,7,3,4
Space,2,8,5,2
Associative learning,5,6,6,0
Treatment,2,5,7,3
Normal volunteers,5,7,5,0
Huntington's disease,4,2,9,2
Visual system,4,6,6,1
Action observation,2,7,6,2
Neurodevelopment,7,3,5,2
Audition,4,6,7,0
Motion perception,5,3,9,0
Learning and memory,6,2,8,1
Recall,6,3,4,4
Event-related potential (ERP),4,4,7,2
Long-term memory,5,7,3,2
spatial cognition,2,4,8,3
Binocular rivalry,3,6,6,2
Cognitive processing,5,8,3,1
Cannabis,2,4,6,5
Emotional processing,2,4,8,3
Mirror neuron system,3,3,10,1
Reliability,5,3,9,0
Medial prefrontal cortex,4,6,6,0
Negative symptoms,2,2,12,1
Alertness,4,4,7,2
Cognitive outcome,3,5,8,1
Falls,2,5,10,0
Breast cancer,3,7,3,4
IQ,2,4,7,3
Motor imagery,4,3,9,0
Social anxiety,5,6,3,2
Pattern recognition,4,5,6,1
Parietal lobe,3,7,6,0
Primate,3,5,8,0
Fear,2,2,10,1
TMS,2,3,6,5
Classification,1,6,5,4
Category learning,2,9,4,1
Delusions,2,5,8,1
Semantic,3,4,7,2
Evoked potentials,1,6,8,1
Sex,1,4,9,2
Stroop task,3,7,3,3
Creativity,4,5,3,1
Cerebral palsy,4,6,5,1
Spatial ability,3,2,8,3
Art,4,4,6,2
Theory of Mind,5,3,6,2
Object permanence,4,4,7,1
multiple sclerosis,4,4,4,3
Event related potentials,3,4,6,2
prefrontal cortex,1,8,5,0
learning,2,5,8,0
Neurophysiology,1,5,8,1
Psychomotor performance,5,3,7,0
Dogs,3,6,4,2
Scene perception,2,7,6,0
False memory,2,3,10,0
Major depressive disorder,4,3,6,2
Spatial learning,3,3,9,0
Dog,4,9,2,0
Macaque,3,7,4,1
Imaging,4,4,6,1
Automobile driving,1,2,11,1
cognitive control,2,8,4,1
Frontal,6,4,5,0
Movement,6,1,7,1
Oculomotor,1,5,5,4
Heart rate variability,5,3,5,2
P3a,6,4,5,0
Trauma,3,6,6,0
Prospective memory,3,6,4,2
Frontal cortex,2,4,7,2
Phonology,3,4,5,3
visual perception,0,7,6,2
Autobiographical memory,1,3,9,2
Computational modeling,1,5,7,2
Hypoxia,2,4,6,3
Stroop,1,8,5,1
Glutamate,1,8,5,1
Visualization,1,9,3,2
Brain and Behavior",0,0,0,0
Declarative memory,6,5,4,0
Distance effect,3,5,5,1
Personality,2,7,5,1
N1,0,11,2,2
vision,4,4,7,0
Adults,3,6,4,1
Physical activity,2,4,5,3
Dorsal stream,4,6,3,1
Validity,1,6,6,1
Body schema,4,4,5,1
Masked priming,3,6,5,0
Event-related potentials (ERPs),1,6,6,1
Brain injury,2,8,3,1
Safety,5,2,6,1
Neurofeedback,2,8,4,0
Theta,2,5,6,1
Repetition priming,0,4,8,2
quality of life,4,3,5,2
Scopolamine,4,5,4,1
Magnetoencephalography (MEG),6,2,6,0
Migraine,6,3,4,1
Object perception,0,7,7,0
Modafinil,4,3,7,0
Attentional capture,2,4,7,1
Chronic pain,2,5,6,1
Binding,4,3,5,2
Accidental falls,4,2,6,2
Corpus callosum,2,0,10,2
Neural networks,3,5,6,0
Number processing,4,6,4,0
P3b,1,4,9,0
SPECT,4,3,5,2
Spatial working memory,4,3,6,1
Spatial vision,1,10,2,1
Testosterone,2,7,5,0
Person perception,2,3,9,0
mood,4,5,4,1
Positron emission tomography,2,6,5,1
Insomnia,3,2,8,1
Older drivers,1,3,5,5
elderly,3,4,6,1
Premotor cortex,1,4,8,1
Psychology,1,2,3,3
Electroencephalogram,2,3,9,0
Craving,1,4,8,1
functional magnetic resonance imaging,2,6,3,3
P1,6,5,2,1
Facial emotion,3,1,7,3
Methylphenidate,6,2,3,3
Semantic processing,3,4,5,2
Magnocellular,2,4,5,2
Arithmetic,3,6,4,0
Chimpanzee,2,5,6,0
Spatial frequency,3,5,4,1
Developmental dyslexia,4,6,2,1
Central coherence,4,2,6,1
Estradiol,4,2,5,2
Word recognition,3,2,7,1
event-related potentials,4,2,5,2
Expectancy,3,2,5,2
Affordances,2,4,5,2
Control,1,2,9,1
Motor skills,3,4,5,1
Spatial orientation,2,4,7,0
Cognitive neuroscience,1,2,10,0
Dissociation,4,3,4,2
Alpha,2,7,4,0
Mismatch negativity,2,3,8,0
Habituation,2,6,3,2
Prism adaptation,3,4,4,2
Working memory capacity,3,3,6,1
Attention-deficit/hyperactivity disorder,3,4,6,0
Pigeons,4,2,5,2
Smoking,2,5,6,0
Asperger syndrome,2,5,3,3
Activities of daily living,1,2,9,1
Transcranial direct current stimulation,5,4,3,1
Reaching,2,6,5,0
Facial emotion recognition,3,3,6,1
Effective connectivity,2,4,6,1
Time,3,6,3,1
Symptoms,1,4,6,2
hippocampus,2,4,7,0
High-functioning autism,1,6,3,3
Conceptual knowledge,3,5,3,2
Change blindness,4,2,3,4
Speech perception,3,4,3,3
Spatial neglect,3,4,4,2
Extinction,1,5,5,2
Fluency,2,3,6,2
Synesthesia,4,4,4,1
Lexical access,1,3,8,1
Right hemisphere,3,2,7,1
Saccadic eye movements,1,4,4,4
APOE,3,5,5,0
Cerebral blood flow,1,4,7,1
Pseudoneglect,3,5,5,0
Chemotherapy,2,5,5,1
traumatic brain injury,2,5,4,2
Spatial navigation,3,5,4,1
Prosopagnosia,2,4,5,2
Grasping,2,2,7,2
Pediatric,4,4,4,1
Approximate number system,3,5,4,0
visual search,1,4,6,1
Metaphor,2,2,7,1
Nutrition,1,4,5,2
Monkeys,1,3,8,0
Asymmetry,3,3,6,0
Spatial representation,1,5,4,2
psychosis,3,5,3,1
Prosody,2,2,6,2
Gaze direction,3,4,4,1
Feedback,2,2,5,2
Tool use,2,6,4,0
Cognitive remediation,3,6,3,0
Suppression,1,5,4,2
Cognitive ability,3,1,6,2
episodic memory,1,4,6,1
Surgery,4,5,2,1
Chinese,0,2,7,3
Body representation,0,3,5,4
NMDA receptor,3,4,3,2
Action perception,3,2,6,1
Intervention,1,6,5,0
Neurotoxicity,3,5,4,0
Language acquisition,2,5,5,0
Neuroscience,4,3,3,2
Attention deficit hyperactivity disorder,3,4,4,1
Language development,5,2,5,0
Fusiform gyrus,0,3,6,3
neuroimaging,2,0,7,3
Cerebrovascular disease,1,2,6,2
Predictive coding,4,1,4,3
Cognitive task,4,2,5,1
Ecstasy,1,5,5,0
Central executive,4,2,6,0
Contrast sensitivity,5,4,3,0
Mice,4,5,0,3
Novelty,2,3,6,1
stroke,4,2,5,1
White matter hyperintensities,3,1,7,1
Cortical thickness,2,4,6,0
Speech,0,4,6,1
Apolipoprotein E,1,5,5,1
Self-awareness,6,2,4,0
Electroencephalography (EEG),3,1,5,3
Neuropsychological functioning,1,3,6,1
BOLD,0,5,5,2
eye tracking,1,8,2,1
Perceptual load,0,3,7,2
Subitizing,3,3,6,0
Strategy,1,2,8,1
Mental simulation,3,3,5,1
Pointing,2,4,6,0
Mouse,2,2,8,0
Visual perspective taking,2,4,5,1
Picture naming,2,4,3,3
Threat,0,4,6,2
rehabilitation,3,2,6,1
Cognitive map,4,3,4,1
Drawing,2,3,6,1
Set-shifting,4,5,3,0
Visual illusions,0,4,8,0
Pigeon,1,4,7,0
Functional imaging,2,4,6,0
Blood pressure,3,0,6,2
behavior,3,6,2,0
Normative data,3,2,5,1
Semantic priming,1,4,5,1
Visuomotor,2,3,4,2
Mania,3,0,7,1
cognitive functioning,2,5,4,0
Hemispheric asymmetry,0,3,8,0
Visual function,1,4,6,0
Monitoring,0,3,7,1
Information visualization,3,3,4,1
Older people,0,3,7,1
Structural equation modeling,2,6,2,1
Reappraisal,2,5,2,2
theory of mind,0,5,6,0
Executive,3,2,4,2
Visual evoked potentials,2,2,6,1
Sentence comprehension,4,1,6,0
Categorical perception,2,5,3,1
TBI,3,4,4,0
Follow-up,0,5,6,0
magnetic resonance imaging,3,4,4,0
visual memory,0,6,5,0
Visuospatial attention,1,3,4,3
Hemispheric specialization,1,5,3,2
Body image,2,4,3,2
Cognitive enhancement,2,5,3,1
Top-down control,4,2,5,0
Part A",0,0,0,0
Timing,2,1,7,1
Biomarker,3,3,5,0
Locomotion,2,3,5,1
Women,0,6,5,0
Cognitive architecture,1,5,5,0
Social functioning,1,4,3,3
Recovery,3,3,2,3
neuropsychological tests,2,4,5,0
MDMA,3,4,4,0
Neurocognitive functioning,1,5,4,1
Postmenopausal women,1,2,7,0
BDNF,2,3,4,2
Prevalence,2,5,4,0
Compensation,2,4,4,1
categorization,2,4,4,1
Cognitive processes,1,3,6,1
Oddball,2,3,4,2
Oxytocin,2,1,7,1
Phenomenology,2,2,5,2
Animacy,3,3,5,0
Pregnancy,2,3,2,4
Posterior parietal cortex,1,4,4,2
Walking,2,2,4,3
Inferior frontal gyrus,3,1,5,2
Analogy,3,3,4,1
Inference,1,4,4,2
Configural processing,2,3,5,1
Generalization,3,4,3,1
Set shifting,2,3,5,1
Causality,1,4,4,2
Auditory cortex,5,0,5,1
Remission,0,4,6,1
Temporal processing,3,1,6,1
Visual field,3,1,5,2
Fragile X syndrome,2,3,6,0
Temporo-parietal junction,2,5,2,2
Modularity,2,3,3,3
Counting,0,4,7,0
Emotion processing,4,3,3,1
Biomarkers,3,4,3,1
Deception,1,2,8,0
Crowding,1,4,6,0
Primary visual cortex,4,1,6,0
OCD,0,7,1,3
Mortality,0,3,7,1
Radiotherapy,2,4,5,0
Attention capture,2,6,2,1
Ventral stream,2,5,3,1
Cognitive deficit,1,5,4,1
Schizotypy,5,3,3,0
Psychopathology,2,1,5,3
Similarity,2,3,5,1
Wisconsin Card Sorting Test,3,4,1,2
Proprioception,1,3,2,4
Major depression,1,2,6,1
Search,3,1,3,3
Part B: Neuropsychiatric Genetics",0,0,0,0
Weak central coherence,2,3,4,1
individual differences,2,2,6,0
Reinforcement learning,2,2,5,1
concussion,1,2,7,0
VBM,2,4,2,2
Emotional faces,1,4,4,1
Video,2,1,4,3
Health-related quality of life,3,4,3,0
face processing,3,3,4,0
Experience,3,3,2,2
Phonological processing,2,2,5,1
Deaf,6,1,3,0
Crossmodal,6,0,3,1
consciousness,1,3,3,3
Body sway,1,2,4,3
Heart rate,0,6,4,0
Subliminal priming,0,4,3,3
Outcomes,3,1,4,2
Melatonin,1,2,5,2
Default network,0,2,7,1
Source monitoring,1,4,5,0
Alzheimer,1,3,4,1
Motor cortex,3,3,2,2
Visual hallucination,3,2,4,1
nicotine,1,5,3,1
smoking,2,3,4,1
Event-related fMRI,1,4,1,4
Expectation,3,4,1,2
embodied cognition,1,1,4,4
Perspective-taking,1,3,5,1
Mild cognitive impairment (MCI),3,2,5,0
Screening,1,5,1,3
Synchronization,0,3,5,2
Antipsychotics,2,4,3,1
Cognitive profile,0,3,6,1
Conflict,2,3,4,1
Enumeration,3,2,4,1
Self-recognition,3,4,3,0
Learning disabilities,5,2,3,0
Lewy body disease,1,7,2,0
Cognitive reserve,3,1,4,2
Visuospatial memory,1,2,7,0
Saliency,2,8,0,0
Posterior cortical atrophy,3,3,3,1
Motor cognition,2,5,3,0
MK-801,3,1,3,3
Disgust,0,2,6,1
Path integration,1,8,0,1
Precuneus,0,4,3,2
Benzodiazepines,2,4,3,1
Audiovisual,5,1,3,1
Tactile,3,1,5,1
Menstrual cycle,1,3,5,1
Posttraumatic stress disorder,5,4,0,1
Memantine,5,3,2,0
Integration,0,2,7,1
Substance abuse,2,5,1,2
Object processing,2,4,0,4
Primate cognition,1,3,5,1
Matching-to-sample,0,6,4,0
Mental fatigue,0,3,6,1
Occlusion,2,2,5,1
Speed of processing,1,3,5,1
Unconscious,3,2,4,1
Fusiform face area,1,5,4,0
Prodrome,4,3,1,2
Pupillometry,0,1,7,2
Self-regulation,2,4,3,1
Prematurity,3,3,1,3
Fibromyalgia,1,2,5,2
Food,1,3,6,0
Cancer,3,2,4,1
Auditory perception,1,3,5,1
Fixation,2,2,6,0
Bias,2,3,4,1
Complexity,2,3,3,1
Touch,3,4,2,0
comparative cognition,2,6,0,1
Geometry,2,4,3,0
Repetition suppression,0,3,3,3
Computational model,2,2,3,2
Frontal eye field,3,3,2,1
Detection,1,4,4,0
Cognitive style,1,4,3,1
Active vision,4,2,3,0
Blindsight,1,3,3,2
Hearing,3,3,2,1
Cognitive set,1,5,3,0
Brain plasticity,2,5,1,1
Object-based attention,1,4,2,2
Beta,2,3,4,0
Anticipation,1,3,4,1
Primary progressive aphasia,2,2,3,2
Feature binding,1,3,5,0
Cerebral cortex,3,2,3,1
Infant development,2,1,5,1
Object representation,1,3,4,1
Preterm,3,2,1,3
Cognition and Neuroscience",0,0,0,0
Rumination,2,5,2,0
Neuroplasticity,1,3,3,2
Chimpanzees,3,5,0,1
Neurodegeneration,2,3,4,0
Euthymia,2,3,2,2
Unipolar depression,3,2,4,0
Pupil dilation,1,4,4,0
Visual short-term memory,2,2,4,1
Implicit cognition,2,3,4,0
Number sense,0,1,4,4
ImPACT,4,3,1,1
Hepatic encephalopathy,1,4,4,0
Neuropsychiatry,2,3,4,0
Vascular dementia,1,4,4,0
SNARC effect,1,2,3,3
Body,1,2,6,0
Placebo,0,3,6,0
Preschool children,4,2,2,1
Pictures,3,1,4,1
Synchrony,0,5,2,2
Atrophy,1,1,5,2
Cluster analysis,1,2,3,3
Dual-task interference,3,0,5,1
Hemispatial neglect,1,3,5,0
Action recognition,2,4,1,2
Homocysteine,3,0,5,1
Perceptual grouping,0,3,5,1
Electromyography,2,4,3,0
P600,3,1,4,1
ICA,1,2,6,0
Lesion,4,2,3,0
Phonological awareness,0,3,4,2
Functional neuroimaging,2,3,4,0
Confidence,0,3,6,0
Visuospatial working memory,3,4,2,0
executive functions,3,3,3,0
LPP,2,3,4,0
Interaction,2,2,5,0
Transfer,2,2,5,0
Operant conditioning,3,2,4,0
Primates,2,3,3,1
Functional outcome,1,6,0,2
Stroop test,2,2,4,1
MMSE,1,3,3,2
Judgment,1,3,3,2
Backward masking,3,2,1,3
Cingulate cortex,0,1,6,2
Gaze following,2,3,4,0
imaging,1,4,4,0
Mental representation,1,6,1,1
Brain development,0,2,7,0
Acute,2,3,4,0
GABA,2,4,3,0
Brain tumor,0,1,8,0
RBANS,1,2,5,1
metacognition,4,0,4,1
Asperger's syndrome,2,2,4,1
Hearing loss,1,2,6,0
Signal detection theory,3,4,1,1
Amnestic mild cognitive impairment,3,3,3,0
Implicit,2,1,6,0
V1,1,1,3,4
disability,3,2,4,0
Function,2,3,3,1
Hydrocephalus,1,1,4,3
Gestures,3,2,4,0
Sensorimotor,3,2,3,1
Handwriting,0,3,5,1
Preschool,2,0,7,0
Action understanding,0,3,6,0
Low vision,2,2,4,1
Verbal fluency,1,1,5,2
Distributed cognition,2,3,3,1
Top-down,0,1,5,3
Social neuroscience,2,1,5,1
Reinforcement,4,2,1,2
STS,2,3,3,1
Subliminal,2,3,3,0
Magnetic resonance spectroscopy,3,2,2,1
Vascular cognitive impairment,1,0,6,1
Reading comprehension,2,2,4,0
Comprehension,3,0,4,1
Resting-state,2,0,4,2
cognitive performance,2,3,2,1
Health and Aging",0,0,0,0
Action selection,3,2,3,0
Sign language,4,0,3,1
Mobility,0,5,3,0
Visual experience,0,3,5,0
neuropsychological assessment,1,1,6,0
Gesture,3,1,4,0
cognitive,2,0,4,2
Attractiveness,2,2,3,1
Autistic disorder,2,1,4,1
Methamphetamine,3,2,3,0
Anterior cingulate,2,1,4,1
Malingering,1,1,4,2
Specific language impairment,2,3,3,0
Relatives,3,1,2,2
Visual event-related potentials,1,2,5,0
gender,3,3,2,0
Healthy volunteers,4,0,4,0
Rhesus monkey,2,3,1,2
Psychophysiology,2,2,3,1
Explicit memory,3,1,4,0
Cardiovascular disease,3,0,5,0
eye-tracking,2,0,5,1
eye movements,1,2,5,0
Occipital lobe,4,4,0,0
CNV,0,2,5,1
Response time,2,1,3,2
Brain injuries,2,2,4,0
Perseveration,2,3,2,1
Treatment outcome,2,3,3,0
Shape,1,2,4,1
Gamma,2,3,3,0
Motor system,1,4,2,1
Ketamine,2,3,1,2
First-episode schizophrenia,2,3,3,0
Language processing,1,4,2,1
International Journal of Paediatrics",0,0,0,0
Allocentric,2,4,1,1
Design,2,2,2,2
Spectral analysis,1,2,5,0
Motor preparation,0,5,3,0
Human cognition,1,4,3,0
face perception,4,1,3,0
Virtual environment,1,2,3,2
Visual recognition,5,0,2,1
Semantic dementia,4,2,2,0
