Old Title,Abstract ,,,,,,,,,,,,Title
Animal Behaviour,Jumping spider; Learning; Salticidae; Virtual reality; Vision,,,,,,,,,,,,d-lifescience
Cognitive Processing,Implicit memory; Interference; Memory alignment effect; Perspective change; Spatial memory,,,,,,,,,,,,dmedicine
Biological Psychology,CNV; Cognitive control; ERP; Inhibition; N2; Positive mood,,,,,,,,,,,,dmedicine
Cognitive Processing,Cognitive map; Navigation; Spatial cognition; Virtual reality,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Attention; Decision making; Expectation; Metacognition; Perceptual confidence,,,,,,,,,,,,dmedicine
Biological Psychology,Mental fatigue; Motivation; Pupil dynamics; Resource depletion; Self-control; Task engagement,,,,,,,,,,,,dengineering
Breast Cancer Research and Treatment,Aromatase inhibitors; Breast cancer; Chemobrain; Cognitive disorders; Hormonotherapy; Tamoxifen,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Amnestic mild cognitive impairment; Face recognition; Functional connectivity; Functional MRI; Fusiform gyrus; Visual cognition,,,,,,,,,,,,dengineering
Journal of Autism and Developmental Disorders,Autism spectrum disorder; Autonomic nervous system; Emotion; Social behavior; Social functioning; Williams syndrome,,,,,,,,,,,,dsocial science
Behavioral and Brain Functions,Alcohol abuse; Dopamine; DRdengineering gene; DRd-lifescience gene; HIV,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Deliberation; Dual-system model; Intuition; Orbitofrontal cortex; Unimodel,,,,,,,,,,,,d-lifescience
European Journal of Nuclear Medicine and Molecular Imaging,Alzheimer's disease; Amyloid imaging; Elderly; MAPT trial; PET,,,,,,,,,,,,dmedicine
Journal of Medical Case Reports,Anticoagulation; Delayed intracranial hemorrhage; Mild head injury; Mild traumatic brain injury; mTBI; Warfarin,,,,,,,,,,,,dmedicine
Clinical Interventions in Aging,Cognitive impairment; Dance; Elderly; Executive function; Transfer; Video game,,,,,,,,,,,,dmedicine
Cognitive Processing,Fictive motion; Linguistic conventions; Mental simulation; Non-actual motion; Phenomenology,,,,,,,,,,,,dmedicine
Behavioural Pharmacology,antidepressant; attention; cognition; ketamine; N-methyl-D-aspartate receptor antagonist; rat; signal detection task,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
NeuroImage: Clinical,Diffusion; Epilepsy; Graph theory; MRI; Neuropsychology; Structural connectivity,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Auditory attention; Auditory cognition; Auditory cortex; Auditory neuroscience; Cortical oscillations; Cortical response; Music processing,,,,,,,,,,,,dsocial science
Neuroscience,Attention; FMRI; Simultaneity judgment; Temporal order judgment; Temporal processing,,,,,,,,,,,,d-lifescience
Frontiers in Systems Neuroscience,CAREN; TBI; Traumatic brain injury; Treadmill; Vestibular physical therapy; Virtual reality,,,,,,,,,,,,dmedicine
NeuroImage,Action; Effector; Goal; Perception; Planning; Preparation,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
BMC Pediatrics,Cardiovascular; Follow-up; Health related quality of life; Infant; Outcomes; Population based; Psychosocial development; Respiratory function tests; Very low birth weight; Young adult,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Attentional selection; Cognitive control; LC-NE system; Pupillometry; Uncertainty; Visual search,,,,,,,,,,,,dengineering
Age,Ageing; Egocentric referencing; Frames of reference; Useful field of view; Visual field dependence–independence; Visual fixation instability,,,,,,,,,,,,dengineering
Food Policy,Cognitive reflection test; Individual differences in judgments on food safety; Judgment on safety of food contaminated by pesticide residue; Numeracy; Visual aid,,,,,,,,,,,,dengineering
Vision Research,Comparative visual search; Decision making; Gaze movement; Individual trade-off; Working memory,,,,,,,,,,,,dsocial science
Journal of Neural Engineering,EEG ERP; single trial; work load,,,,,,,,,,,,dsocial science
Hormones and Behavior,Acetylcholine; Attention; Brain imaging; Cognitive performance; Estradiol; Memory,,,,,,,,,,,,d-lifescience
 C.D., Hemispheric encoding/retrieval asymmetry in episodic memory: positron emission tomography findings (1994) Proc. Natl. Acad. Sci.,,,,,,,,,,,,dmedicine
Neuropsychologia,Active vision; Eye movements; Reading; Scene perception; Visual cognition,,,,,,,,,,,,dmedicine
"Attention, Perception, and Psychophysics",Attention; Conceptual knowledge; Embodied cognition; Long-term memory; Semantic memory; Visual short-term memory; Visual working memory,,,,,,,,,,,,dmedicine
Journal of Anxiety Disorders,Body dysmorphic disorder; Movie of the Assessment of Social Cognition; Obsessive-compulsive disorder; Social anxiety disorder; Social cognition; Theory of mind,,,,,,,,,,,,dmedicine
Cortex,Brain stimulation; Plasticity; Pseudoneglect; Psychophysics; Visual attention,,,,,,,,,,,,dengineering
International Journal of Psychophysiology,3D visual fatigue; Cognitive load; ERP (event related potential); Heart-brain synchronization; HEP (heartbeat evoked potential),,,,,,,,,,,,dengineering
Vision Research,Penalty; Reward; Salience; Smooth pursuit eye movements; Value,,,,,,,,,,,,dengineering
Neuropsychologia,Alzheimer's Disease; Cognition; Dementia with Lewy Bodies; Secondary memory; Working memory,,,,,,,,,,,,dsocial science
Journal of Neurolinguistics,Familiarity; Mandarin; N400; Semantic processing; Song lyrics,,,,,,,,,,,,dsocial science
Physiology and Behavior,Cognitive performance; CogState; Histidine; Mental fatigue; POMS,,,,,,,,,,,,d-lifescience
Neuropsychologia,Attention; Early negativity; Event-related potentials; Focus; N400; Rhythmic irregularities,,,,,,,,,,,,dmedicine
Brain and Cognition,Distractor inhibition; Distractor processing; Lateralized readiness potential,,,,,,,,,,,,dmedicine
Cognition,Biological motion; Social stimuli; Visuo-spatial orienting,,,,,,,,,,,,dmedicine
Neuropsychologia,"Correctness; Distance effect; ERPs; Expectancy; Mental arithmetic, arithmetic verification task; N2b; N400; P3b; Physical features",,,,,,,,,,,,dmedicine
Cognition,Blindness; Frame of reference; Orthography; Space; Time,,,,,,,,,,,,dengineering
Behavioural Brain Research,Observational learning; Primate; Social cognition,,,,,,,,,,,,dengineering
Journal of Clinical and Diagnostic Research,Alcohol abuse; Diffuse cerebral and cerebellar atrophy; Polychloroprene solvent; Sensorineural hearing loss,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dsocial science
Journal of Neurodevelopmental Disorders,Cornelia de Lange syndrome; Emotion preference; Eye gaze; Eye-tracking; Rubinstein-Taybi syndrome,,,,,,,,,,,,dsocial science
Cognitive Processing,Body ownership; Multisensory integration; Self-location; Spatial cognition; Visual-perspective,,,,,,,,,,,,d-lifescience
Proceedings of the National Academy of Sciences of the United States of America,Attention; Cortex; FMRI; Human; Monkey,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Nutrients,Cognition; Exercise; Guaraná; Memory; Micronutrients; Mood,,,,,,,,,,,,dmedicine
BMC Medical Genetics,4H leukodystrophy; Growth impairment; Hypogonadotropic hypogonadism; Hypomyelination; Panhypopituitarism; POLR3B gene; Recombinant GH,,,,,,,,,,,,dmedicine
Cognitive Processing,Mental workload; Remote collaboration; Spatial communication; Virtual reality,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Action-related visual and auditory stimulation; Electroencephalography; Fourier-Independent Component Analysis; Sensory-motor area; Source signals,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
Blood,,,,,,,,,,,,,dsocial science
Nutrients,Breakfast; Cognition; Exercise; Females; Mood,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Autism; Gaze pattern; Mirror neurons; Motor resonance; Predictive gaze; Transcranial magnetic stimulation,,,,,,,,,,,,d-lifescience
Neuropsychopharmacology,,,,,,,,,,,,,dmedicine
Psychopharmacology,Acetylcholine; Distraction; Dopamine; Flexibility; Genetics; Nicotine; Pharmacology; Selective attention; SNP,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Motor bias; Neglect therapy; Spatial cognition; Spatial neglect; Stroke; Visual scanning training,,,,,,,,,,,,dmedicine
Neuroscience,Adolescence; Cognition; ERP; Fitness; Motor preparation,,,,,,,,,,,,dmedicine
BMC Geriatrics,Ageing; Cognition; Depression; Fatigue; Older cancer patients; Oncology,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dsocial science
Translational Neuroscience,Cognitive effort; Executive functions; Five digits test; Neuropsychology; Psychological evaluation; Pupillary diameter,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
PLoS ONE,,,,,,,,,,,,,dmedicine
Asian Social Science,Children TV Shows; Ethical sustainability; Hannover principles; Interior design; Iran; Scene design,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
NeuroImage,Brain MRI; Cortical development; Infant brain development; Myelination,,,,,,,,,,,,dmedicine
Journal of Chemical Ecology,Chemical defense; Danaini; Dihydropyrrolizines; Flower visitors; Insect cognition; Monocrotaline; Nectar; Sex pheromones; Visual signals,,,,,,,,,,,,dengineering
Neuroscience Letters,Anxiety; Depression; Stress; Trauma witness model,,,,,,,,,,,,dengineering
Progress in Neuro-Psychopharmacology and Biological Psychiatry,Autism spectrum disorder; Cognition; Emotion; Executive function; FMRI,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Choice-reaction task; Color-word-Stroop task; Deliberation; Free will; High density EEG; Libet; Movement intention; Readiness potential,,,,,,,,,,,,dsocial science
NeuroImage: Clinical,Bayesian model averaging; Bayesian model selection; Dynamical causal modeling; Effective connectivity; Functional magnetic resonance imaging,,,,,,,,,,,,dsocial science
NeuroImage,Brain networks; Cognition; Functional connectivity; Graph theory; Perception; The connectome,,,,,,,,,,,,d-lifescience
IEEE Computer Graphics and Applications,computer graphics; information visualization; semantic interaction; Sensemaking; visual analytics; visualization,,,,,,,,,,,,dmedicine
Brain and Cognition,External visual imagery; FMRI; Internal visual imagery; Kinesthetic imagery; Motor cognition; VMIQ-2,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Concept priming; Continuous flash suppression; Hemispheric asymmetry; Top-down influence; Vision,,,,,,,,,,,,dmedicine
Neuropsychologia,Executive control; Functional brain networks; Graph theory; Schizophrenia,,,,,,,,,,,,dmedicine
Cognition,Affect; Gestalt; Illusory contours; Visual disambiguation,,,,,,,,,,,,dengineering
Neuroscience Letters,Delayed match-to-sample task; Development; P300; SLORETA; Slow wave; Working memory,,,,,,,,,,,,dengineering
Behavioural Brain Research,Corticosterone; Prepulse inhibition; Reelin; Schizophrenia; Social interaction; Y-maze,,,,,,,,,,,,dengineering
Animal Behaviour,Chimpanzee; Experience projection; Perspective taking; Social cognition; Theory of mind,,,,,,,,,,,,dsocial science
Neuropsychologia,Approximate number system; Attention; Numerical cognition; Numerosity perception; Preterm children; Time perception,,,,,,,,,,,,dsocial science
Consciousness and Cognition,Attention; Embodied cognition; Global neuronal workspace; Gurwitsch; Inattention; Meta-stable dynamics; Neural correlates of consciousness; Phenomenology; Predictive coding; Small world networks,,,,,,,,,,,,d-lifescience
Computers and Education,Arithmetic training; Educational game; Enjoyment; Visuo-motor skills; Working memory,,,,,,,,,,,,dmedicine
Biological Psychology,Electroencephalography; Face perception; Skin conductance; Social cognition; Social phobia,,,,,,,,,,,,dmedicine
IEEE Transactions on Affective Computing,affect sensing and analysis; Cognitive models; human information processing,,,,,,,,,,,,dmedicine
Consciousness and Cognition,,,,,,,,,,,,,dmedicine
Neuropsychologia,Cognition; Healthy humans; Neuropsychiatric diseases; Transcranial direct current stimulation,,,,,,,,,,,,dengineering
 L.-Y., The role of superior temporal sulcus in the control of irrelevant emotional face processing: atranscranial direct current stimulation study (2014) Neuropsychologia,,,,,,,,,,,,dengineering
NeuroImage,Attention; Effective connectivity; Electroencephalogram; Granger causality; Multivariate autoregressive models; Short-term memory,,,,,,,,,,,,dengineering
Brain Research Bulletin,Behavioral strategy; Functional recovery; Hippocampus; Prefrontal cortex; Reversal learning; Set-shifting,,,,,,,,,,,,dsocial science
NeuroToxicology,Cholinesterase inhibitors; Nerve agents; Organophosphates; Psychometric evaluation; Rivastigmine,,,,,,,,,,,,dsocial science
Acta Psychologica,Action video games; Attentional control; Biologically relevant stimuli; Demand characteristics; Eye movements; Faces; Oculomotor capture,,,,,,,,,,,,d-lifescience
Neuroscience Letters,Electroencephalography; Gait; Movement-related cortical potential; Source localization,,,,,,,,,,,,dmedicine
International Journal of Environmental Research and Public Health,Cognitive functioning; Directed attention; Exercise environments; Green exercise; Perceived exertion; Wellbeing,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Episodic memory; False belief; FMRI; Identity; IPL; Overarching function; Visual perspective taking,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Action perception; Body movements; Electromyography; Human robot interaction; Imitative processing; Mirror neuron system; Social cognition; Social robotics,,,,,,,,,,,,dsocial science
Nature,,,,,,,,,,,,,dsocial science
Clinical Therapeutics,clinical trial; cognition; diabetes; functioning; Key words Alzheimer disease; quality of life,,,,,,,,,,,,d-lifescience
PLoS ONE,,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
NeuroImage: Clinical,Adolescent; Child; Conflict; Resting-state; Salience network,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
Journal of Neurophysiology,Adaptation; Cognition; Explicit memory; Recall; Savings,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,fMRI BOLD; Human vision; Machine learning; Natural stimuli; Virtual environments,,,,,,,,,,,,dengineering
Insectes Sociaux,Discriminative stimuli; Flower complexity; Foraging; Insect learning; Manipulation; Shaping,,,,,,,,,,,,dsocial science
International Journal of Environmental Research and Public Health,Aging; Distraction; Inhibition; Lures; Prospective memory,,,,,,,,,,,,dsocial science
NeuroImage: Clinical,Anticipatory control; Attention; Magnetoencephalography; Mild traumatic brain injury; Visual tracking,,,,,,,,,,,,d-lifescience
NeuroImage: Clinical,Autism; Corpus callosum; Cortical reorganization; Poffenberger; Purdue; Visuo-motor integration,,,,,,,,,,,,dmedicine
Behavioral Ecology and Sociobiology,Cognition; Hiding; Macaque; Old world monkey; Sneaky mating; Tactical deception,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Medical Science Monitor,Antibodies; Cognition; Menopause; Thyroid function tests; Thyroid hormones,,,,,,,,,,,,dmedicine
Computers in Human Behavior,Blink rate; Cognitive demand; Computer vision syndrome; Digital eye strain; Dry eye,,,,,,,,,,,,dengineering
Molecular Autism,Development; High-risk siblings; Longitudinal; Sex differences; Symptom severity,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Cognitive disorders; Hemophilia; HIV; Neuropsychological assessment; Neuropsychological impairments,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Development; EEG; Eyes; Face; Inversion; N170,,,,,,,,,,,,d-lifescience
NeuroImage,,,,,,,,,,,,,dmedicine
Behavior Research Methods,Motor affordance; Norms; Object,,,,,,,,,,,,dmedicine
Psychonomic Bulletin and Review,Comparative cognition; Glass pattern; Starling; Sturnus vulgaris; Visual perception,,,,,,,,,,,,dmedicine
Age,Cognition; Elderly; Mood; Multivitamin; Multivitamin/mineral; Stress,,,,,,,,,,,,dmedicine
Cognitive Neurodynamics,Brain network; Functional connectivity; Graph theoretical analysis; Harmonic response; Steady-state visual evoked potentials (SSVEP),,,,,,,,,,,,dengineering
Behavioural Brain Research,Acetylcholinesterase inhibitors; Aging; Anxiety; Chronic treatment; Cognitive decline; Huprine X,,,,,,,,,,,,dengineering
Epilepsy and Behavior,Children; Epilepsy; Neuropsychology; Reliable change indices; Standardized regression-based change score norms,,,,,,,,,,,,dengineering
Experimental Eye Research,Alzheimer's disease; Memantine; Microglia; Müller cell; Retinal ganglion cell,,,,,,,,,,,,dsocial science
"Journal of Medical Devices, Transactions of the ASME",,,,,,,,,,,,,dsocial science
Addictive Behaviors,Adolescent; Cognition; Cognitive performance; Marijuana; Memory; Youth,,,,,,,,,,,,d-lifescience
Research in Developmental Disabilities,Area comparison abilities; Down syndrome; Eye-tracking task; Number comparison abilities; Numerical cognition,,,,,,,,,,,,dmedicine
Behavioural Processes,Delay discounting; Ecological rationality; Evolutionary robotics; Intertemporal choice; Preferences; Spatial discounting,,,,,,,,,,,,dmedicine
Indian Journal of Pediatrics,AIDS; Children; Cognition; HIV; ICIT,,,,,,,,,,,,dmedicine
Behavioural Brain Research,Animal model; Executive function; PTSD; Reversal; Set-shifting; Single prolonged stress,,,,,,,,,,,,dmedicine
Neuropsychologia,Autobiographical memory; Case study; Episodic memory; Hippocampus,,,,,,,,,,,,dengineering
Psycho-Oncology,breast cancer; cognitive functioning; obesity; oncology; physical activity; sleep,,,,,,,,,,,,dengineering
Frontiers in Systems Neuroscience,Cocaine; Columnar processing; Executive control; Interneuron; Nonhuman primates; Prefrontal cortex; Pyramidal cell; Target selection,,,,,,,,,,,,dengineering
Psychopharmacology,Adolescent; Alcohol; Alcohol expectancy; Attention bias; Eye tracking,,,,,,,,,,,,dsocial science
Frontiers in Behavioral Neuroscience,Anhedonia; Empathy; FMRI; Schizotypy; Theory of mind,,,,,,,,,,,,dsocial science
Animal Cognition,Avian cognition; Contagious yawning; Empathy; Yawning,,,,,,,,,,,,d-lifescience
Frontiers in Human Neuroscience,Aphasia; FMRI; Repeated picture naming; Word retrieval,,,,,,,,,,,,dmedicine
Neuropsychiatric Disease and Treatment,ADHD; Cognition; Executive function; Low-grade pontine glioma; NF1,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Artistic attitude; Emotions; Empathy; RMET; Sex differences,,,,,,,,,,,,dmedicine
Journal of Insect Behavior,bees; bumblebees; cognition; Memory; memory deterioration; navigation,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Functional imaging; Human vision; MRI; Occipital cortex; Phase-encoded design; Retinotopy; V4,,,,,,,,,,,,dengineering
Neuropsychopharmacology,,,,,,,,,,,,,dsocial science
Behavioural Brain Research,Alzheimer's disease; Autistic spectrum disorder; Object recognition; Parkinson's disease; Schizophrenia; Traumatic brain injury,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
PLoS ONE,,,,,,,,,,,,,dmedicine
